year,qdistance,qtime,avg_delay
2000,7,2,4.6538461538461538
2000,7,3,6.7090909090909091
2000,7,4,6.6873293282359366
2000,7,5,6.9385855375184470
2000,7,6,8.0239386248269497
2000,7,7,9.2579308356656376
2000,7,8,11.7639272271016311
2000,7,9,18.5028191534124379
2000,7,10,33.7793388429752066
2000,7,11,48.9968454258675079
2000,7,12,61.4577464788732394
2000,7,13,76.9464285714285714
2000,7,14,94.7010309278350515
2000,7,15,103.6923076923076923
2000,7,16,135.3333333333333333
2000,7,17,123.0000000000000000
2000,7,19,
2000,7,20,
2000,8,1,12.0000000000000000
2000,8,2,7.7777777777777778
2000,8,3,35.5405405405405405
2000,8,4,13.0823529411764706
2000,8,5,9.7781734021719779
2000,8,6,8.1065863848611452
2000,8,7,8.2667454023958158
2000,8,8,9.5161197435017111
2000,8,9,14.2430224426219086
2000,8,10,24.4475990618442168
2000,8,11,40.8382467028704422
2000,8,12,65.1271794871794872
2000,8,13,72.2800000000000000
2000,8,14,89.2153110047846890
2000,8,15,122.7777777777777778
2000,8,16,104.3023255813953488
2000,8,17,141.7777777777777778
2000,8,19,
2000,8,20,
2000,9,1,-11.6666666666666667
2000,9,2,142.0000000000000000
2000,9,3,-5.0000000000000000
2000,9,4,3.9130434782608696
2000,9,5,19.0067567567567568
2000,9,6,8.6452430315595485
2000,9,7,7.0961888036479034
2000,9,8,7.4579472034579133
2000,9,9,8.5667079857504997
2000,9,10,12.5922188449848024
2000,9,11,19.1894018887722980
2000,9,12,32.8336551724137931
2000,9,13,51.3235908141962422
2000,9,14,73.4120879120879121
2000,9,15,87.1771428571428571
2000,9,16,106.2786885245901639
2000,9,17,117.9285714285714286
2000,9,19,264.0000000000000000
2000,9,20,
2000,10,1,-7.0909090909090909
2000,10,2,-10.0000000000000000
2000,10,3,46.5000000000000000
2000,10,4,19.5555555555555556
2000,10,5,19.0833333333333333
2000,10,6,7.8983050847457627
2000,10,7,8.6440375167485485
2000,10,8,6.8395580022971207
2000,10,9,6.8947098415825330
2000,10,10,9.1889704561781609
2000,10,11,14.2119072832097894
2000,10,12,22.6715218860274795
2000,10,13,39.8625336927223720
2000,10,14,64.1395348837209302
2000,10,15,80.2307692307692308
2000,10,16,101.4581280788177340
2000,10,17,122.3888888888888889
2000,10,18,197.5000000000000000
2000,10,19,147.0000000000000000
2000,10,20,474.0000000000000000
2000,11,1,71.7500000000000000
2000,11,2,-19.0000000000000000
2000,11,3,16.0000000000000000
2000,11,5,66.6666666666666667
2000,11,6,-7.1000000000000000
2000,11,7,4.3026315789473684
2000,11,8,7.9809581078372419
2000,11,9,8.3616297546926209
2000,11,10,8.8066120955104814
2000,11,11,10.5023293665302464
2000,11,12,16.0832582215240401
2000,11,13,28.3352423374695090
2000,11,14,47.5010836584308626
